"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 13 20:09:29 MSK 2022","Sat Aug 13 20:09:31 MSK 2022","2171","Negative Test","Negative tests","Test.CheckOutTest","Test.CheckOutTest","negativeTest","checking the correct data when buying","registration of goods for purchase, filling in incorrect data"
"passed","Sat Aug 13 20:09:22 MSK 2022","Sat Aug 13 20:09:24 MSK 2022","2235","Negative Test","Negative tests","Test.CheckOutTest","Test.CheckOutTest","negativeTest","checking the correct data when buying","registration of goods for purchase, filling in incorrect data"
"passed","Sat Aug 13 20:09:55 MSK 2022","Sat Aug 13 20:09:56 MSK 2022","1100","Regression Tests","Regression tests","Test.ItemDetailsTest","Test.ItemDetailsTest","verifyItemNameAndPriceOnDetailsPage","checking information about all products","Checking the description of the selected product"
"passed","Sat Aug 13 19:44:13 MSK 2022","Sat Aug 13 19:44:13 MSK 2022","588","Default Suite","SauceDemo","Test.LoginTest","Test.LoginTest","negativeLoginTest","verification of data input during authorization","authorization on the site with incorrect data"
"passed","Sat Aug 13 20:09:50 MSK 2022","Sat Aug 13 20:09:51 MSK 2022","1101","Regression Tests","Regression tests","Test.ItemDetailsTest","Test.ItemDetailsTest","verifyItemNameAndPriceOnDetailsPage","checking information about all products","Checking the description of the selected product"
"passed","Sat Aug 13 20:10:04 MSK 2022","Sat Aug 13 20:10:04 MSK 2022","720","Regression Tests","Regression tests","Test.ProductTest","Test.ProductTest","isProductInCatalogPresentTest","Checking the availability of products in the catalog by name, price and description","Checking the ratio of the name, price and description of the product in the catalog"
"passed","Sat Aug 13 20:10:44 MSK 2022","Sat Aug 13 20:10:51 MSK 2022","7399","Smoke Tests","All Smoke tests","Test.CheckOutTest","Test.CheckOutTest","checkOutFinishTest","verification of the final completed purchase","full completion of the purchase"
"passed","Sat Aug 13 20:10:04 MSK 2022","Sat Aug 13 20:10:05 MSK 2022","924","Regression Tests","Regression tests","Test.ProductTest","Test.ProductTest","isProductInCatalogPresentTest","Checking the availability of products in the catalog by name, price and description","Checking the ratio of the name, price and description of the product in the catalog"
"passed","Sat Aug 13 20:09:56 MSK 2022","Sat Aug 13 20:09:58 MSK 2022","1127","Regression Tests","Regression tests","Test.ItemDetailsTest","Test.ItemDetailsTest","verifyItemNameAndPriceOnDetailsPage","checking information about all products","Checking the description of the selected product"
"passed","Sat Aug 13 20:09:26 MSK 2022","Sat Aug 13 20:09:29 MSK 2022","2190","Negative Test","Negative tests","Test.CheckOutTest","Test.CheckOutTest","negativeTest","checking the correct data when buying","registration of goods for purchase, filling in incorrect data"
"passed","Sat Aug 13 20:09:34 MSK 2022","Sat Aug 13 20:09:35 MSK 2022","571","Negative Test","Negative tests","Test.LoginTest","Test.LoginTest","negativeLoginTest","verification of data input during authorization","authorization on the site with incorrect data"
"passed","Sat Aug 13 20:11:00 MSK 2022","Sat Aug 13 20:11:01 MSK 2022","766","Smoke Tests","All Smoke tests","Test.LoginTest","Test.LoginTest","positiveLoginTest","website authorization check","authorization on the site with input parameters USERNAME=standard_user, PASSWORD=secret_sauce"
